quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
0:0,791,88,498,205,1,0.0,0.0
0:1,841,92,513,236,1,0.0,9.297563190637049e-05
0:2,833,136,519,178,1,0.0,0.00018595126381274098
0:3,812,140,480,192,1,0.0,0.0002789268957191115
0:4,802,160,481,161,1,0.0,0.00037190252762548195
0:5,552,76,360,116,1,0.0,0.0004648781595318524
0:6,0,0,0,0,1,0.0,0.0005578537914382229
1:0,808,88,487,233,1,-9.36022408747137e-05,0.0
1:1,908,92,581,235,1,-9.36022408745901e-05,9.297563190649372e-05
1:2,905,113,599,193,1,-9.360224087446523e-05,0.00018595126381298744
1:3,880,167,572,141,1,-9.36022408743403e-05,0.00027892689571948115
1:4,793,144,508,141,1,-9.360224087421542e-05,0.0003719025276259749
1:5,591,111,345,135,1,-9.360224087409052e-05,0.0004648781595324686
1:6,0,0,0,0,1,-9.360224087396562e-05,0.0005578537914389623
2:0,752,91,475,186,1,-0.0001872044817494224,0.0
2:1,838,86,529,223,1,-0.00018720448174917333,9.297563190686345e-05
2:2,884,109,584,191,1,-0.00018720448174892353,0.0001859512638137269
2:3,909,146,607,156,1,-0.00018720448174867373,0.00027892689572059034
2:4,874,129,576,169,1,-0.0001872044817484239,0.0003719025276274538
2:5,602,94,369,139,1,-0.00018720448174817415,0.00046487815953431724
2:6,0,0,0,0,1,-0.0001872044817479243,0.0005578537914411807
3:0,445,101,257,87,1,-0.0002808067226241211,0.0
3:1,487,49,326,112,1,-0.0002808067226237496,9.297563190747961e-05
3:2,385,40,238,107,1,-0.00028080672262337486,0.00018595126381495923
3:3,494,50,332,112,1,-0.00028080672262300016,0.00027892689572243885
3:4,455,59,313,83,1,-0.00028080672262262546,0.0003719025276299185
3:5,338,38,246,54,1,-0.00028080672262225076,0.0004648781595373981
3:6,0,0,0,0,1,-0.0002808067226218761,0.0005578537914448777
4:0,0,0,0,0,1,-0.0003744089634988047,0.0
4:1,0,0,0,0,1,-0.00037440896349830497,9.297563190834231e-05
4:2,0,0,0,0,1,-0.0003744089634978054,0.0001859512638166846
4:3,0,0,0,0,1,-0.00037440896349730577,0.0002789268957250269
4:4,0,0,0,0,1,-0.00037440896349680617,0.0003719025276333692
4:5,0,0,0,0,1,-0.0003744089634963066,0.0004648781595417115
4:6,0,0,0,0,1,-0.00037440896349580697,0.0005578537914500538
