quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
6:13,52,11,16,25,2,-0.0005616134452384508,0.001208683214840492
6:14,0,0,0,0,2,-0.0005616134452377082,0.001301658846751299
7:0,876,120,491,265,1,-0.0006552156861227151,0.0
7:1,946,251,479,216,1,-0.0006552156861218464,9.29756319124092e-05
7:2,881,359,443,79,1,-0.000655215686120979,0.0001859512638248184
7:3,793,421,328,44,0,-0.0006552156861201117,0.0002789268957372276
7:4,863,401,374,88,0,-0.0006552156861192443,0.0003719025276496368
7:5,902,154,503,245,1,-0.0006552156861183769,0.000464878159562046
7:6,861,38,393,430,2,-0.0006552156861175095,0.0005578537914744552
7:7,857,69,491,297,1,-0.0006552156861166421,0.0006508294233868643
7:8,876,51,272,553,2,-0.0006552156861157748,0.0007438050552992736
7:9,870,58,311,501,2,-0.0006552156861149074,0.0008367806872116828
7:10,851,46,188,617,2,-0.00065521568611404,0.0009297563191240921
7:11,801,40,220,541,2,-0.0006552156861131727,0.0010227319510365013
7:12,798,97,376,325,1,-0.0006552156861123053,0.0011157075829489106
7:13,49,11,25,13,1,-0.000655215686111438,0.0012086832148613198
7:14,0,0,0,0,1,-0.0006552156861105706,0.001301658846773729
8:0,852,102,404,346,1,-0.0007488179269972881,0.0
8:1,910,143,468,299,1,-0.0007488179269962976,9.29756319142578e-05
8:2,904,250,518,136,1,-0.0007488179269953053,0.0001859512638285156
8:3,784,352,369,63,1,-0.000748817926994313,0.0002789268957427734
8:4,799,399,306,94,0,-0.0007488179269933209,0.0003719025276570312
8:5,851,288,374,189,1,-0.0007488179269923286,0.000464878159571289
8:6,892,144,474,274,1,-0.0007488179269913364,0.0005578537914855468
8:7,899,69,488,342,1,-0.0007488179269903441,0.0006508294233998046
8:8,942,72,257,613,2,-0.0007488179269893517,0.0007438050553140624
8:9,910,55,162,693,2,-0.0007488179269883595,0.0008367806872283202
8:10,957,42,146,769,2,-0.0007488179269873672,0.000929756319142578
8:11,916,33,163,720,2,-0.000748817926986375,0.0010227319510568357
8:12,939,87,355,497,2,-0.0007488179269853827,0.0011157075829710936
8:13,52,10,18,24,2,-0.0007488179269843905,0.0012086832148853514
8:14,0,0,0,0,2,-0.0007488179269833983,0.0013016588467996092
9:0,861,156,454,251,1,-0.0008424201678718212,0.0
9:1,959,163,599,197,1,-0.0008424201678707075,9.297563191635286e-05
9:2,894,148,589,157,1,-0.0008424201678695904,0.00018595126383270572
9:3,837,169,494,174,1,-0.0008424201678684732,0.00027892689574905856
9:4,858,256,425,177,1,-0.0008424201678673562,0.00037190252766541144
9:5,849,316,349,184,1,-0.0008424201678662388,0.0004648781595817643
9:6,887,315,354,218,1,-0.0008424201678651217,0.0005578537914981171
9:7,869,251,330,288,1,-0.0008424201678640047,0.00065082942341447
9:8,924,202,327,395,2,-0.0008424201678628874,0.0007438050553308228
9:9,930,78,218,634,2,-0.0008424201678617702,0.0008367806872471756
9:10,920,24,148,748,2,-0.000842420167860653,0.0009297563191635284
9:11,878,23,144,711,2,-0.0008424201678595359,0.0010227319510798813
9:12,911,46,216,649,2,-0.0008424201678584188,0.0011157075829962343
9:13,57,6,16,35,2,-0.0008424201678573016,0.0012086832149125872
9:14,0,0,0,0,2,-0.0008424201678561844,0.0013016588468289401
10:0,762,81,284,397,2,-0.0009360224087463094,0.0
10:1,806,136,338,332,1,-0.0009360224087450684,9.297563191869438e-05
10:2,771,104,402,265,1,-0.0009360224087438266,0.0001859512638373888
10:3,788,72,354,362,2,-0.0009360224087425844,0.00027892689575608316
10:4,793,113,338,342,2,-0.0009360224087413425,0.0003719025276747776
10:5,764,257,266,241,1,-0.0009360224087401003,0.00046487815959347196
10:6,732,301,219,212,0,-0.0009360224087388583,0.0005578537915121663
10:7,781,379,217,185,0,-0.0009360224087376162,0.0006508294234308607
10:8,850,497,256,97,0,-0.0009360224087363741,0.0007438050553495551
10:9,825,308,224,293,0,-0.000936022408735132,0.0008367806872682494
10:10,863,118,205,540,2,-0.0009360224087338898,0.0009297563191869438
10:11,880,113,299,468,2,-0.000936022408732648,0.0010227319511056383
10:12,841,51,256,534,2,-0.0009360224087314058,0.0011157075830243327
10:13,54,5,14,35,2,-0.0009360224087301638,0.001208683214943027
10:14,0,0,0,0,2,-0.0009360224087289218,0.0013016588468617214
11:0,683,71,268,344,2,-0.0010296246496207468,0.0
11:1,747,120,316,311,1,-0.001029624649619381,9.297563192128243e-05
11:2,751,102,377,272,1,-0.001029624649618014,0.00018595126384256486
11:3,705,88,346,271,1,-0.0010296246496166472,0.0002789268957638473
11:4,735,256,303,176,1,-0.00102962464961528,0.00037190252768512977
