quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
1:39,923,624,291,8,0,-9.360224086984392e-05,0.0036260496443532527
1:40,900,554,344,2,0,-9.360224086971902e-05,0.0037190252762597464
1:41,971,627,340,4,0,-9.360224086959412e-05,0.00381200090816624
1:42,975,548,417,10,0,-9.360224086946922e-05,0.0039049765400727336
1:43,937,500,417,20,0,-9.360224086934432e-05,0.003997952171979228
1:44,932,608,310,14,0,-9.36022408692194e-05,0.004090927803885721
1:45,908,652,242,14,0,-9.360224086909453e-05,0.004183903435792215
1:46,879,663,200,16,0,-9.36022408689696e-05,0.0042768790676987085
1:47,702,634,65,3,0,-9.360224086884472e-05,0.004369854699605202
1:48,45,43,2,0,0,-9.360224086871982e-05,0.004462830331511696
1:49,0,0,0,0,0,-9.360224086859492e-05,0.004555805963418189
2:0,0,0,0,0,0,-0.0001872044817494224,0.0
2:1,0,0,0,0,0,-0.00018720448174917333,9.297563190686345e-05
2:2,0,0,0,0,0,-0.00018720448174892353,0.0001859512638137269
2:3,284,82,175,27,1,-0.00018720448174867373,0.00027892689572059034
2:4,822,187,572,63,1,-0.0001872044817484239,0.0003719025276274538
2:5,814,299,461,54,1,-0.00018720448174817415,0.00046487815953431724
2:6,876,258,573,45,1,-0.0001872044817479243,0.0005578537914411807
2:7,859,143,638,78,1,-0.00018720448174767453,0.0006508294233480441
2:8,864,143,642,79,1,-0.0001872044817474247,0.0007438050552549076
2:9,857,204,616,37,1,-0.0001872044817471749,0.000836780687161771
2:10,886,184,675,27,1,-0.00018720448174692513,0.0009297563190686345
2:11,878,197,617,64,1,-0.0001872044817466753,0.001022731950975498
2:12,867,167,623,77,1,-0.0001872044817464255,0.0011157075828823614
2:13,873,143,618,112,1,-0.00018720448174617573,0.001208683214789225
2:14,874,187,606,81,1,-0.0001872044817459259,0.0013016588466960885
2:15,893,114,661,118,1,-0.0001872044817456761,0.001394634478602952
2:16,918,131,695,92,1,-0.0001872044817454263,0.0014876101105098156
2:17,904,124,715,65,1,-0.0001872044817451765,0.0015805857424166792
2:18,896,138,677,81,1,-0.00018720448174492672,0.0016735613743235427
2:19,914,190,669,55,1,-0.0001872044817446769,0.0017665370062304063
2:20,943,248,638,57,1,-0.00018720448174442712,0.0018595126381372698
2:21,915,290,564,61,1,-0.00018720448174417732,0.0019524882700441334
2:22,892,234,612,46,1,-0.00018720448174392752,0.002045463901950997
2:23,922,209,647,66,1,-0.0001872044817436777,0.0021384395338578605
2:24,908,190,642,76,1,-0.00018720448174342795,0.002231415165764724
2:25,900,217,595,88,1,-0.0001872044817431781,0.0023243907976715876
2:26,883,207,600,76,1,-0.00018720448174292832,0.002417366429578451
2:27,826,226,540,60,1,-0.0001872044817426785,0.0025103420614853147
2:28,957,277,606,74,1,-0.00018720448174242872,0.0026033176933921783
2:29,937,199,646,92,1,-0.00018720448174217892,0.002696293325299042
2:30,912,171,620,121,1,-0.00018720448174192912,0.0027892689572059054
2:31,918,158,626,134,1,-0.0001872044817416793,0.002882244589112769
2:32,965,170,698,97,1,-0.00018720448174142955,0.0029752202210196325
2:33,973,284,595,94,1,-0.0001872044817411797,0.003068195852926496
2:34,944,338,508,98,1,-0.00018720448174092992,0.0031611714848333596
2:35,963,326,601,36,1,-0.0001872044817406801,0.003254147116740223
2:36,997,366,568,63,1,-0.00018720448174043032,0.0033471227486470867
2:37,969,357,545,67,1,-0.00018720448174018052,0.0034400983805539503
2:38,962,290,609,63,1,-0.00018720448173993072,0.003533074012460814
2:39,993,295,633,65,1,-0.0001872044817396809,0.0036260496443676774
2:40,980,225,678,77,1,-0.00018720448173943115,0.003719025276274541
2:41,966,194,676,96,1,-0.0001872044817391813,0.0038120009081814045
2:42,943,141,682,120,1,-0.0001872044817389315,0.003904976540088268
2:43,963,126,649,188,1,-0.0001872044817386817,0.003997952171995132
