quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
0:0,763,124,337,302,1,0.9999999999999998,1.0
0:1,756,143,326,287,1,0.9999983664193194,1.0000929755370709
0:2,810,154,314,342,2,0.9999967328386391,1.0001859510740956
0:3,849,184,349,316,1,0.9999950992579587,1.0002789266110743
0:4,0,0,0,0,1,0.9999934656772785,1.0003719021480109
1:0,852,227,389,236,1,0.9999064123014141,0.9999983771060088
1:1,913,178,390,345,1,0.9999047787207335,1.0000913526404436
1:2,851,194,355,302,1,0.9999031451400527,1.0001843281748368
1:3,842,187,387,268,1,0.9999015115593719,1.0002773037091803
1:4,0,0,0,0,1,0.9998998779786912,1.000370279243474
2:0,850,173,394,283,1,0.9998128246027734,0.9999967542121097
2:1,905,205,433,267,1,0.9998111910220919,1.0000897297439186
2:2,906,225,426,255,1,0.9998095574414101,1.0001827052756787
2:3,882,183,416,283,1,0.9998079238607281,1.0002756808073976
2:4,0,0,0,0,1,0.9998062902800462,1.0003686563390712
3:0,0,0,0,0,1,0.9997192369040787,0.9999951313183023
3:1,0,0,0,0,1,0.9997176033233962,1.000088106847476
3:2,0,0,0,0,1,0.9997159697427138,1.000181082376597
3:3,0,0,0,0,1,0.9997143361620312,1.0002740579056775
3:4,0,0,0,0,1,0.9997127025813487,1.0003670334347092
